text,sentiment,clean_text
"warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung . tahu berkualitas , dipadu keahlian memasak , dipadu kretivitas , jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia . harga cukup terjangkau . jangan lewatkan tahu bletoka nya , tidak kalah dengan yang asli dari tegal !",positive,warung dimiliki pengusaha pabrik puluhan terkenal putih bandung berkualitas dipadu keahlian memasak dipadu kretivitas warung menyajikan menu utama berbahan ditambah menu ayam selera indonesia harga terjangkau lewatkan bletoka nya kalah asli tegal
mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecah-pecah,neutral,mohon ulama lurus k mmbri hujjah partai diwlh suara islam pecahpecah
"lokasi strategis di jalan sumatera bandung . tempat nya nyaman terutama sofa di lantai 2 . paella nya enak , sangat pas dimakan dengan minum bir dingin . appetiser nya juga enak-enak .",positive,lokasi strategis jalan sumatera bandung nya nyaman sofa lantai paella nya enak pas dimakan minum bir dingin appetiser nya enakenak
betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus ! menetapkan beli lagi !,positive,betapa bahagia nya unboxing paket barang nya bagus menetapkan beli
"duh . jadi mahasiswa jangan sombong dong . kasih kartu kuning segala . belajar dulu yang baik , tidak usahlah ikut-ikut politik . nanti sudah selesai kuliah nya mau ikut politik juga tidak telat . dasar mahasiswa .",negative,duh mahasiswa sombong kasih kartu kuning belajar usahlah ikutikut politik selesai kuliah nya politik telat dasar mahasiswa
"makanan beragam , harga makanan di food stall akan ditambahkan 10 % lagi di kasir , suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk .",positive,makanan beragam harga makanan food stall kasir suasana ramai perhatian parkir duduk
pakai kartu kredit bca tidak untung malah rugi besar,negative,pakai kartu kredit bca untung rugi
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",positive,unik bagus foto makanan enak pegawai ramah bersih luas wifi kencang harga standar sesuai nya menu masakan makanan barat indonesia menu favorit lychee mojito spagheti
"saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan . setiabudhi , bandung . tapi , karena tidak ada hubungan untuk rm sari sunda di jalan . setiabudhi , maka saya tuliskan di sini . jadi , maaf jika rekan-rekan pembaca ada yang bingung . beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat .",positive,keluarga menikmati pengalaman kuliner menyenangkan rm sari sunda jalan setiabudhi bandung hubungan rm sari sunda jalan setiabudhi tuliskan maaf rekanrekan pembaca bingung suka restoran pelayanan restoran terbilang cepat
bersyukur,positive,bersyukur
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",negative,simcard indosat inaktiv garagara lupa isi pulsa kabar nya aktif pinda pasca bayar ribet banget
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,negative,sifat iri muncul orang orang tujuan hidup
"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",positive,menceritakan pengalaman pesan steak grilled beef disajikanlah steak potongan buruk kualitas daging nya enggan memesan menu beef khusus nya sirloin lemak nya ukuran steak menumenu menempel lidah sarankan membeli menu berlabel cheese lanjutan
"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",negative,pengalaman indosat semoga pelanggan marahmarah pelayanan pelanggan indosat
anak sekarang sulit untuk dinasehati,negative,anak sulit dinasehati
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,negative,mengatasi kayak gini anies sandi becus pasukan kebersihan nya
setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,neutral,bumn dibentuk uu dibentuk uu
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",positive,sehabis puas bermain trans studio bandung teman sepakat makan ayam kakek ayam nya enak gurih
rasa bakso cuanki dan batagor cukup . selalu ramai pengunjung . buka sekitar jam 10 pagi . dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek . harga per porsi sekitar rp 14 000 . datanglah lebih awal karena selalu ramai pengunjung,positive,bakso cuanki batagor ramai pengunjung buka jam pagi jalan riau jalan a yani sisi kiri jalan jalan anggrek harga porsi rp datanglah ramai pengunjung
sgwr 2018 beri dampak positif terhadap hobi anak-anak,positive,sgwr dampak positif hobi anakanak
"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",positive,lembang pemandangan indah udara sejuk penataan resto bagus dilengkapi makanan nikmat pilihan menu beragam minuman lengkap lingkungan cocok makan berdua pasangan membawa keluarga teman lapangan parkir luas restoran berkonsep terbuka udara lembang sejuk nya
"berbuka puasa di sini pada minggu lepas , pak supir yang mencadangkan tempat makan ini . makanan nya di sini sedap dan harga berpatutan . tempat nya luas dan cantik . rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia .",positive,berbuka puasa minggu lepas supir mencadangkan makan makanan nya sedap harga berpatutan nya luas cantik rekomendasi too others to dine in here to authentic sunda makanan indonesia
hahaha suka banget nonton kartun indonesia keluarga pak tomat,positive,hahaha suka banget nonton kartun indonesia keluarga tomat
bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,positive,temanteman berkunjung bandung mampir kopi anjis makan makanan berat cilok rakyat ditemankan teh sereh lekker
"di restoran ini , saya dan keluarga makan malam yang terakhir di bandung . kami berjumlah 8 orang dan bila nya hanya sekitar 400 an , benar-benar murah meriah , sampai makan double-double lagi . makanan nya juga enak , suasana kafe menarik , pelayanan sangat bagus . saya masih teringat petunjuk toilet yang ada di restoran ini men to the pergi , karena momen are selalu ribut hahahaha . setimpal .",positive,restoran keluarga makan malam bandung orang nya an benarbenar murah meriah makan doubledouble makanan nya enak suasana kafe menarik pelayanan bagus petunjuk toilet restoran men to the pergi momen are ribut hahahaha setimpal
"alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari",negative,alhamdulillah jalan bugel kesal melulu sempit arah macet makanan seharihari
"respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor",negative,respon sayang nya rem nya asli rom distrobitor
lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,positive,lokasi pemandangan alam natural indah suasana sejuk tenang nyamuk harga makanan relatif mahal
pdip sebut ridwan kamil menang karena berbaju merah,neutral,pdip ridwan kamil menang berbaju merah
malu - maluin nih oknum yang tidak bertanggung jawab .,negative,malu maluin nih oknum bertanggung
"makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .",negative,makan siang asyik nuansa bali music nya musik sunda kadang musik khas bali bergantian nya enak adem sayang pesan kopi banget nya berkali kali iya iya jam kopi kopi panas kopi ade kah ciri khas kopi khas nya kopi dingin enak
"tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau . tempat di riau ini lebih besar , parkiran juga tidak sulit seperti di setiabudi . lokasi di tempat kuliner jalan riau . porsi dan harga nya pas untuk ukuran steak . untuk zoom non smoking nya nyaman .",positive,steak bandung zaman setiabudi buka cabang riau riau parkiran sulit setiabudi lokasi kuliner jalan riau porsi harga nya pas ukuran steak zoom non smoking nya nyaman
"08:30 : kedatangan presiden ri dan rombongan di gate 2 , terminal 3 disambut oleh menteri perhubungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kami , dan dirut railink",neutral,kedatangan presiden ri rombongan gate terminal disambut menteri perhubungan menteri bumn gubernur banten dirjen perkeretaapian kemhub dirut ap dirut pt dirut railink
makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung . enak sekali tidak ada yang tidak enak kalau makanan di sini .,positive,makanan tradisional stabil iga garang asam nya java steak nya lupa ya dicoba hidangan penutup kue enak lemper soes fla gulung enak enak makanan
"sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba . bumbu kacang nya pas rasanya di lidah , dan batagor nya juga tidak amis bau nya . silakan mencoba untuk yang belum pernah coba .",positive,batagor terenak kota bandung dibandingkan batagor coba bumbu kacang nya pas lidah batagor nya amis bau nya silakan mencoba coba
"aroma khas yang ada jika makan di atas daun pisang , ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung .",positive,aroma khas makan daun pisang ya ramai favourit bandung
"akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini . suasana nya nyaman , pelayanan juga ramah dan berlebihan ala kami puas . makanan yang di sajikan standar seperti makanan di restoran pada umum nya , tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan . di sana selain bisa makan kita juga bisa sambil memetik . lanjutan",positive,keluarga berjalan daerah lembang sengaja mampir makan resto suasana nya nyaman pelayanan ramah ala puas makanan sajikan standar makanan restoran nya berbeda sambal stroberi yummy bikin ketagihan makan memetik lanjutan
risma menjatuhkan pilihan nya pada gus ipul - puti di pilgub jatim 2018 ini .,neutral,risma menjatuhkan pilihan nya gus ipul puti pilgub jatim
"pengalaman yang cukup seru , makan tanpa alas piring , tapi hanya dengan alas daun , makin nikmat . makanan sunda yang sangat bervariatif dan cukup enak . tips nya : jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macam-macam begitu . pilih seperlunya .",positive,pengalaman seru makan alas piring alas daun nikmat makanan sunda bervariatif enak tips nya terbawa emosi kalap memesan memilih makanan disediakan kalap makanan macammacam pilih
"makanan nya enak , suasana nyaman . harga bisa dibilang sama dengan tempat lain . restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh",positive,makanan nya enak suasana nyaman harga dibilang restoran konsep terkenal menu jepang nya enak loh
kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat . walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung / tempat makan dari yang kapasitas sedang hingga besar . kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan .,positive,kampung daun makan menyatukan konsep alam budaya daerah kompleks perumahan luas saung makan kapasitas kualitas makanan enak nya suara riak air air terjun suasana nyaman makan
"waktu itu ke sini pesan nasi goreng dan kentang goreng , nasi goreng nya semua suka . kentang goreng nya enak banget , dan presentasi nya bagus . keluarga bilang kopi nya enak . hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu , tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya . harga nya cukup mahal , namun karena makanan nya enak semua jadi terbayarkan . tidak perlu pikir dua kali jika mau ke tempat ini lagi .",positive,pesan nasi goreng kentang goreng nasi goreng nya suka kentang goreng nya enak banget presentasi nya bagus keluarga bilang kopi nya enak nya luas lihat pemandangan dusun bambu pelayanan nya cepat kali pesanan harga nya mahal makanan nya enak terbayarkan pikir kali
"banyak sekali tempat makan sunda yang bertebaran di kota bandung , tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini . ibu imas yang berada di dekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan .",positive,makan sunda bertebaran kota bandung jatuh hati warung makan imas alunalun kota bandung menyuguhkan rumah makan sunda karakter warung nasi zaman mengambil hidangan proses order jumpai warung makan
hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai .,neutral,hai tolong bantu input resi jne kenomor resi dipakai
"foods : menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara . dirilis : mixing green tea yakult , perfect ! satu-satunya kekurangan pizza hut adalah pinggiran nya ,",positive,foods menu cheeseburger nya oke banget chicken wings pizza hut juara dirilis mixing green tea yakult perfect satusatunya kekurangan pizza hut pinggiran nya
dusun bambu ini tergolong baru di bandung . tempat nya yang dekat banget sama almamater saya . membuat saya gampang cari ini tempat . pemandangan nya bagus . banyak tempat makan yang enak-enak . beli nya nanti pakai voucher .,positive,dusun bambu tergolong bandung nya banget almamater gampang cari pemandangan nya bagus makan enakenak beli nya pakai voucher
tidak memuaskan,negative,memuaskan
suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !,negative,suruh ngaca pemain nya dasar oneng ngomong ala betawi lu kampungan
"kafe ini menyajikan sensasi makan dalam gelap . cukup unik sih , tetapi lebih dari sekali , rasanya orang jarang datang lagi . hanya menarik untuk sekadar mencoba .",negative,kafe menyajikan sensasi makan gelap unik sih orang jarang menarik mencoba
"sesuai dengan nama nya mi awie , kedai makan ini menyediakan menu mi dengan olahan daging babi . selain mi masih ada pilihan lainnya seperti nasi goreng babi , capjay goreng , bakso , pangsit dan lainnya . kami mencoba menu mi babi casau special , rasanya . enak banget !",positive,sesuai nama nya mi awie kedai makan menyediakan menu mi olahan daging babi mi pilihan nasi goreng babi capjay goreng bakso pangsit mencoba menu mi babi casau special enak banget
"mardani ali sera : kemenangan di sosial media , akan selalu kemenangan di dunia nyata .",neutral,mardani ali sera kemenangan sosial media kemenangan dunia nyata
"terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa kafe , sekaramg sudah jadi penginapan dan boutique hotel . untuk yang travel bareng anak-anak pasti suka menginap di sini . ada playground yang seru , swimming pool , high rope , flying fox kalau menginap dapat tiket gratis dan petik stroberi perlu pesan - karena suka ramai . menginap di sini banyak pilihan kamar . enak .",positive,kafe sekaramg penginapan boutique hotel travel bareng anakanak suka menginap playground seru swimming pool high rope flying fox menginap tiket gratis petik stroberi pesan suka ramai menginap pilihan kamar enak
selamat pagi . wah kecewa berat masa indihome internet tidak kocek lagi . saya itu bayar mahal . jangan kecewakan kami sebagai pelanggan,negative,selamat pagi kecewa berat indihome internet kocek bayar mahal kecewakan pelanggan
. pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini . 4 humas naik buat kampung daun .,positive,pokok nya afdol lembang bandung mampir humas kampung daun
"kfc bandung supermall fasilitas nya lengkap luas , agak jarang ditemukan dikfc lainnya . keramahtamaan karyawan nya juga sangat bagus",positive,kfc bandung supermall fasilitas nya lengkap luas jarang ditemukan dikfc keramahtamaan karyawan nya bagus
"restoran sapu lidi memilik keunikan tersendiri , serasa makan di tengah sawah , dikelilingin kolam ikan dan juga nuansa persawahan . menu nya seperti makanan sunda lainnya , tapi ada satu menu favorit saya , jamur bakar , enak banget .",positive,restoran sapu lidi memilik keunikan tersendiri serasa makan sawah dikelilingin kolam ikan nuansa persawahan menu nya makanan sunda menu favorit jamur bakar enak banget
"semua enak . mi abu-abu , mi black , tahu cocol dan sayap ayam nya mantap . buat makan camilan bisa di sini .",positive,enak mi abuabu mi black cocol sayap ayam nya mantap makan camilan
"nkri bersyariah , fpi , revolusi akhlaq , suara keadilan , __laugh__ semua pada tersandung kasus , fpi , ulama nya tersandung obrolan mesum tidak berani pulang , nkri bersyariah , berarti tidak mengamalkan pancasila , sungguh miris ,",negative,nkri bersyariah fpi revolusi akhlaq suara keadilan laugh tersandung fpi ulama nya tersandung obrolan mesum berani pulang nkri bersyariah mengamalkan pancasila sungguh miris
bikin macet saja nih orang,negative,bikin macet nih orang
singapura selidiki penjualan prt indonesia di situs daring,neutral,singapura selidiki penjualan prt indonesia situs daring
"pergi merayakan ulang tahun di tempat ini sangat berkesan , saya dengan istri memilih tempat ini , menu makanan variatif , dari makanan barat sampai lokal ada , sedia baju hangat . dingin sangat di sini .",positive,pergi merayakan ulang berkesan istri memilih menu makanan variatif makanan barat lokal sedia baju hangat dingin
"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",negative,memilih orang pengecut prabowo memimpin negara
"jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban",negative,iklan perbaiki jaringan lamban
"kalau orang tiongkok masuk indonesia baru bisa maju , kalau andalkan orang pribumi otak nya jongkok",negative,orang tiongkok masuk indonesia maju andalkan orang pribumi otak nya jongkok
cepat respon . pengiriman kilat . dan ramah . setelah akhirnya saya berputar-putar di toko lain yang tidak jelas . saya bertemu toko juragan ini yang pelayanan nya sangat memuaskan . tangkap sangat juragan .,positive,cepat respon pengiriman kilat ramah berputarputar toko bertemu toko juragan pelayanan nya memuaskan tangkap juragan
"sok pencitraan sekali , basi sama gaya lu . lebih wibawa yang seragam coklat top deh buat pak anies .",negative,sok pencitraan basi gaya lu wibawa seragam coklat top deh anies
